isbn,genre,cover,title,authors,publisher,year,preco_medio,collection,volume,pages,type,preco_correto
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/por_mais_um_dia_com_zapata.jpg,Por mais um dia com zapata,Daniel Esteves,Zapata,2015,42.3,No collection,0,132,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/peepland_2.jpg,Peepland 2,Christina Faust,Skript,2022,47.77,Peepland,20,136,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/big_baby.jpg,Big Baby,Charles Burns,Darkside,2019,34.3,No collection,0,113,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/a_lenda_de_korra__guerra_territorial.jpg,A lenda de korra: guerra territorial,Bryan Konietzko,Intrínseca,2023,30.0,A lenda de korra,0,240,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/bichos.jpg,Bichos,Daniel Esteves,Zapata,2022,15.0,No collection,0,30,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/alho_poro.jpg,Alho poró,Bianca Pinheiro,Conrad,2022,30.38,No collection,0,72,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_cortico.jpg,O cortiço,Aluísio Azevedo,Ática,2013,15.24,Clássicos brasileiros em HQ,0,80,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/mulheres_caidas.jpg,Mulheres caídas,Aline Daka,Skript,2021,69.58,No collection,0,100,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/honey_buzzard_o_retorno_da_ave_de_rapina.jpg,Honey buzzard o retorno da ave de rapina,Aimée de Jongh,Conrad,2023,66.17,No collection,0,168,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/calvin_e_haroldo_felino_selvagem_psicopata_homicida.jpg,Calvin e Haroldo felino selvagem psicopata homicida,Bill Watterson,Best,1996,60.0,Calvin e Haroldo,1,88,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/creepy_contos_classicos_de_terror_1.jpg,Creepy contos clássicos de terror 1,Vários,Devir,2020,90.09,Creepy contos clássicos de terror,1,246,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/terra_australis.jpg,Terra Australis,Agustín Graham Nakamura,Conrad,2021,29.89,No collection,0,176,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/perramus_dente_por_dente.jpg,Perramus dente por dente,Alberto Breccia,Globo,2009,28.48,No collection,0,152,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/dias_de_areia.jpg,Dias de areia,Aimée de Jongh,Nemo,2022,49.94,No collection,0,271,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/taxi__historias_passageiras.jpg,Táxi! histórias passageiras,Aimée de Jongh,Conrad,2022,53.0,No collection,0,96,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/sata_amigo_das_criancas_boas.jpg,Satã amigo das crianças boas,Allan Sieber,Veneta,2020,20.0,No collection,0,50,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_menino_de_ouro_e_a_caixa_de_alcebias.jpg,O menino de ouro e a caixa de alcebias,Greg Stella,Veneta,2024,105.75,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/primo.jpg,Primo,Eduardo Medeiros,Conrad,2023,48.7,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/pre_o_dram_da_escolinha.jpg,Pré o dram da escolinha,Max Andrade,Conrad,2023,11.92,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/feliz_aniversario_feliz_obiturario.jpg,Feliz aniversário feliz obiturário,Rafael Calça,Conrad,2023,10.0,HQ para todos,0,32,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/mayara_e_annabelle_e_a_carreta_fantasma.jpg,Mayara e Annabelle e a carreta fantasma,Pablo Casado,Conrad,2023,11.5,HQ para todos,0,32,Collection,no
